"Alkhemikal";12;False;False;0;0;1;1
32;2;2;5;17;5;0
33;209;135;2;17;3;0
34;202;135;5;17;6;0
35;193;135;7;17;8;0
36;185;135;6;17;7;0
37;175;135;8;17;9;0
38;165;135;8;17;9;0
39;161;135;2;17;3;0
40;155;135;4;17;5;0
41;213;135;4;17;5;0
42;146;135;7;17;8;0
43;130;135;6;17;7;0
44;126;135;2;17;3;0
45;119;135;5;17;6;0
46;115;135;2;17;3;0
47;109;135;4;17;5;0
48;100;135;7;17;8;0
49;94;135;4;17;5;0
50;85;135;7;17;8;0
51;138;135;6;17;7;0
52;227;135;7;17;8;0
53;64;154;6;17;7;0
54;236;135;6;17;7;0
55;132;154;7;17;8;0
56;124;154;6;17;7;0
57;116;154;6;17;7;0
58;112;154;2;17;3;0
59;108;154;2;17;3;0
60;99;154;7;17;8;0
61;91;154;6;17;7;0
62;82;154;7;17;8;0
63;141;154;6;17;7;0
64;72;154;8;17;9;0
65;55;154;7;17;8;0
66;46;154;7;17;8;0
67;37;154;7;17;8;0
68;28;154;7;17;8;0
69;19;154;7;17;8;0
70;11;154;6;17;7;0
71;2;154;7;17;8;0
72;244;135;7;17;8;0
73;80;135;3;17;4;0
74;219;135;6;17;7;0
75;70;135;8;17;9;0
76;148;116;7;17;8;0
77;125;116;11;17;12;0
78;116;116;7;17;8;0
79;106;116;8;17;9;0
80;97;116;7;17;8;0
81;87;116;8;17;9;0
82;77;116;8;17;9;0
83;68;116;7;17;8;0
84;58;116;8;17;9;0
85;138;116;8;17;9;0
86;49;116;7;17;8;0
87;29;116;9;17;10;0
88;20;116;7;17;8;0
89;11;116;7;17;8;0
90;2;116;7;17;8;0
91;246;97;3;17;4;0
92;240;97;4;17;5;0
93;235;97;3;17;4;0
94;228;97;5;17;6;0
95;40;116;7;17;8;0
96;157;116;3;17;4;0
97;233;116;7;17;8;0
98;162;116;7;17;7;-1
99;45;135;5;17;6;0
100;36;135;7;17;8;0
101;29;135;5;17;6;0
102;23;135;4;17;5;0
103;15;135;6;17;7;0
104;7;135;6;17;7;0
105;2;135;3;17;4;0
106;248;116;3;17;3;-1
107;52;135;7;17;7;-1
108;242;116;4;17;4;-1
109;223;116;8;17;9;0
110;215;116;6;17;7;0
111;207;116;6;17;7;0
112;199;116;6;17;7;0
113;191;116;6;17;7;0
114;184;116;5;17;6;0
115;177;116;5;17;6;0
116;171;116;4;17;5;0
117;61;135;7;17;8;0
118;157;154;5;17;6;0
119;29;192;8;17;9;0
120;164;154;5;17;6;0
121;180;192;6;17;7;0
122;172;192;6;17;7;0
123;164;192;6;17;7;0
124;160;192;2;17;3;0
125;152;192;6;17;7;0
126;142;192;8;17;9;0
160;140;192;0;17;5;0
161;136;192;2;17;3;0
162;188;192;5;17;6;0
163;128;192;6;17;7;0
164;111;192;6;17;7;0
165;103;192;6;17;7;0
166;99;192;2;17;3;0
167;92;192;5;17;6;0
168;85;192;5;17;6;0
169;75;192;8;17;9;0
170;69;192;4;17;5;0
171;58;192;9;17;10;0
172;119;192;7;17;8;0
174;205;192;8;17;9;0
175;59;211;7;17;8;0
176;215;192;4;17;5;0
177;120;211;6;17;7;0
178;114;211;4;17;5;0
179;108;211;4;17;5;0
180;103;211;3;17;4;0
181;94;211;7;17;8;0
182;84;211;8;17;9;0
183;80;211;2;17;3;0
184;74;211;4;17;5;0
185;128;211;3;17;4;0
